Name,Address,Latitude,Longitude,Website,Google Categories,Place ID,Status
Urban Alpacas,"18492 Farm to Market Rd 2755, Royse City, TX 75189, USA",32.99650099999999,-96.417924,http://www.urbanalpaca.farm/,"establishment, point_of_interest",ChIJe8-ZJa4ATIYRcQQR2MJziMk,Pending Review
Blase Family Farm,"1232 E Fork Rd, Rockwall, TX 75087, USA",32.9427778,-96.4733333,https://www.blasefamilyfarm.com/,"establishment, point_of_interest",ChIJS1wbHJcBTIYRSMDVZUnxDgI,Pending Review
Dallas Farmers Market,"920 S Harwood St, Dallas, TX 75201, USA",32.7775406,-96.79006360000001,http://www.dallasfarmersmarket.org/,"establishment, food, point_of_interest, restaurant, shopping_mall",ChIJwfu5e-GYToYRikmj_Cz3-bw,Pending Review
USDA Urban Service Center - Agriculture,"3102 Maple Ave #100, Dallas, TX 75201, USA",32.7991514,-96.8079183,http://www.farmers.gov/,"establishment, point_of_interest",ChIJISCregCZToYRzzcb9vhUGyk,Pending Review
Eden's Organic Garden Center & CSA Farm,"4710 Pioneer Rd, Balch Springs, TX 75180, USA",32.7058244,-96.6053968,http://www.edensorganicgardencenter.com/,"establishment, point_of_interest, store",ChIJ45xm7cC6ToYRjG_NnSXH-Fs,Pending Review
The Farmer's Market at Bonton Farms,"6911 Bexar St, Dallas, TX 75215, USA",32.7347329,-96.75375749999999,Not listed,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJBUPDp6uZToYRQH-r4t0Helw,Pending Review
Taylor Farms,"1171 N Cockrell Hill Rd, Dallas, TX 75211, USA",32.7507433,-96.8922056,http://www.taylorfarms.com/,"establishment, point_of_interest, storage",ChIJVVVVVeWaToYRdoYkAeK_Tsw,Pending Review
Market Provisions,"1451 John West Rd, Dallas, TX 75228, USA",32.8076164,-96.6928087,http://marketprovisions.org/,"establishment, food, point_of_interest, store",ChIJvbUKj-GYToYRepfkgxFKEIA,Pending Review
The Shed Dallas Farmers Market,"The Shed, 1010 S Pearl Expy, Dallas, TX 75201, USA",32.777658,-96.7886462,http://dallasfarmersmarket.org/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJLdSHcQCZToYREaC-4Xg9Quc,Pending Review
The Cedar Market Ranch,"2434 S Harwood St, Dallas, TX 75215, USA",32.7683924,-96.77982329999999,http://www.thecedarmarketranch.com/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJ9YuRq2mZToYRuLnANkPP3Kg,Pending Review
Dallas Farmers Market Produce Shed,"123 Taylor St, Dallas, TX 75201, USA",32.7777065,-96.788813,https://dallasfarmersmarket.org/the-shed/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJRTrXrUGZToYRU1yLzBOtqF8,Pending Review
Dallas Market Hall,"2200 N Stemmons Fwy, Dallas, TX 75207, USA",32.8032476,-96.82936079999999,http://www.dallasmarketcenter.com/public,"establishment, point_of_interest",ChIJMaduqayeToYRo1l_G4XUTII,Pending Review
Georgia's Farmer's Market,"916 E 15th St, Plano, TX 75074, USA",33.0195431,-96.7021415,Not listed,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJR15abxwZTIYR84hGCkchrjI,Pending Review
The Garden Dallas,"111 Oak Lawn Ave, Dallas, TX 75207, USA",32.7903968,-96.82508779999999,http://thegardendallas.com/,"bar, establishment, food, point_of_interest, restaurant",ChIJV00_kFeZToYREkF9vL-gsyc,Pending Review
Ruibal's Plants of Texas,"601 S Pearl Expy, Dallas, TX 75201, USA",32.778552,-96.79050000000001,http://ruibals.com/,"establishment, florist, point_of_interest, store",ChIJD32EM-CYToYRyYbVi5DML3c,Pending Review
Main Street Garden Park,"1902 Main St, Dallas, TX 75201, USA",32.7811695,-96.7948469,http://mainstreetgarden.org/,"establishment, park, point_of_interest, tourist_attraction",ChIJRfzcnR-ZToYRg8yt9Ky1Hww,Pending Review
Paul Quinn Farmers Market,"3837 Simpson Stuart Rd, Dallas, TX 75241, USA",32.6789702,-96.7558858,https://paulquinn.edu/we-me-farm/,"establishment, point_of_interest",ChIJ46B6P9GXToYRSvg_O9nUL6U,Pending Review
Dallas Market Center,"2100 N Stemmons Fwy, Dallas, TX 75207, USA",32.8026898,-96.8260991,http://dallasmarketcenter.com/,"establishment, point_of_interest",ChIJccUIplKZToYR_FqApPa6YIM,Pending Review
World Trade Center,"2050 N Stemmons Fwy, Dallas, TX 75207, USA",32.8036356,-96.8237485,https://www.dallasmarketcenter.com/,"establishment, point_of_interest",ChIJe2osU62eToYREM2vmDQbrc8,Pending Review
Farmer's Delite,"440 S Hampton Rd, DeSoto, TX 75115, USA",32.58298,-96.85657599999999,https://www.facebook.com/FarmersDelite/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJc2fQCaKTToYRlaEgSo-CoJc,Pending Review
Energy Gardens Terrariums,"3116 Commerce St Ste C, Dallas, TX 75226, USA",32.7840317,-96.77782069999999,http://www.energygardens.shop/,"establishment, point_of_interest",ChIJzaWwgo6ZToYRs8WEUoivx_E,Pending Review
Stone Street Gardens,"1520 Elm St #201, Dallas, TX 75201, USA",32.7813827,-96.7986925,Not listed,"establishment, park, point_of_interest",ChIJsS4UoxiZToYRvnXeYw5B6n4,Pending Review
East Dallas Community Garden,"1416 N Fitzhugh Ave, Dallas, TX 75204, USA",32.8045316,-96.7742119,Not listed,"establishment, park, point_of_interest",ChIJ9WgmPcuYToYRP3-VODR1iUE,Pending Review
Civic Garden,"1014 Main St, Dallas, TX 75202, USA",32.7795971,-96.8022293,https://parksfordowntowndallas.org/civic-garden/,"establishment, park, point_of_interest, tourist_attraction",ChIJSWNvMBiZToYRXM9CJnt6X2E,Pending Review
Ruibal's Plants of Texas - Main Office,"2018 Cadiz St, Dallas, TX 75201, USA",32.778371,-96.790768,http://ruibals.com/,"establishment, point_of_interest",ChIJJfWyxuGYToYR-XCvQCkTQ-g,Pending Review
Amelia Farmers Market,"999 S Harwood St, Dallas, TX 75201, USA",32.7770316,-96.7913148,https://ameliaatfarmersmarket.com/?utm_source=gmb&utm_medium=organic,"establishment, point_of_interest, real_estate_agency",ChIJaRJl0cGZToYRmtqLw38Osig,Pending Review
Talise Microgreens LLC,"17811 Davenport Rd suite 52, Dallas, TX 75252, USA",32.9916954,-96.7947044,Not listed,"establishment, point_of_interest",ChIJG_SzingjTIYRtde756JMl9E,Pending Review
BFF Agriculture,"6700 Co Rd 239, Terrell, TX 75160, USA",32.7621535,-96.3587934,http://breedenfreshfarms.com/,"establishment, point_of_interest",ChIJ302REfhTSYYRMPKOEOwZO7Y,Pending Review
Abundant Harvest Hydroponics & Organics,"3101 Avenue E, Arlington, TX 76011, USA",32.7571817,-97.05211290000001,http://www.abhydro.com/,"establishment, point_of_interest, store",ChIJJ-LSKgOHToYRsyQ6k9vLiLE,Pending Review
Hort Americas - Wholesale Hydroponic Farming Supply Company in Dallas,"2801 Renee St, Bedford, TX 76021, USA",32.851105,-97.10090799999999,http://hortamericas.com/,"establishment, food, point_of_interest",ChIJ1Qx59tx_ToYR4gLp_420YQM,Pending Review
World of Organics Garden Supply,"230 W Parker Rd #180c, Plano, TX 75075, USA",33.0395465,-96.7081954,https://worldoforganicsandhydroponics.com/,"establishment, food, point_of_interest, store",ChIJv2w4-C8fTIYRPKQaz6pGZTI,Pending Review
"Texas Green Star, LLC","4122 Cowling Rd, Sanger, TX 76266, USA",33.3213005,-97.1735839,http://www.texasgreenstar.com/,"establishment, point_of_interest",ChIJJV98t2-zTYYRu1SyCH40mD4,Pending Review
Gardenuity,"2222 Vantage St, Dallas, TX 75207, USA",32.7993729,-96.8339266,https://www.gardenuity.com/?y_source=1_MTIwNjA4NjAtNzE1LWxvY2F0aW9uLndlYnNpdGU=,"establishment, home_goods_store, point_of_interest, store",ChIJdfEPzc2eToYRCwgP3VJMAA4,Pending Review
Green Grow Rooms,"8339 Hoyle Ave, Dallas, TX 75227, USA",32.7747592,-96.6764068,https://greengrowrooms.com/,"establishment, point_of_interest",ChIJtTrOimyjToYRMyMrhvXWWiQ,Pending Review
New Life Farms,"9811 Travis Trail, Dallas, TX 75241, USA",32.631323,-96.756804,http://www.newlifefarms.org/,"establishment, point_of_interest",ChIJnXKkiCGXToYRSG8r-lki7-I,Pending Review
Boterna Vertical Farms,"1512 I-35W Ste 108, Denton, TX 76207, USA",33.1985646,-97.16826510000001,http://www.boterna.com/,"establishment, point_of_interest",ChIJeQq1sarLTYYRjavIXeSiIk8,Pending Review
North Haven Gardens,"7700 Northaven Rd, Dallas, TX 75230, USA",32.90013,-96.77556,https://www.nhg.com/,"establishment, point_of_interest, store",ChIJk-Y0CnQgTIYRIk80cUbLr7g,Pending Review
Plantkeeper Inc. / Scape Supply Co.,"2211 N Beckley Ave, Dallas, TX 75208, USA",32.7702777,-96.82346749999999,https://plantkeeperinc.com/,"establishment, point_of_interest",ChIJQU_gbfQnTIYRas0sKA0Af8k,Pending Review
"Honey Locust Farms, LLC","4571 TX-276, Rockwall, TX 75032, USA",32.9040706,-96.37985259999999,http://www.honeylocustfarms.org/,"clothing_store, establishment, point_of_interest, store",ChIJ-4tvi39VSYYR9k0VRtne_nU,Pending Review
The Green Branch,"5530 Parkdale Dr, Dallas, TX 75227, USA",32.779826,-96.7255969,Not listed,"establishment, point_of_interest",ChIJQ4wwLEKiToYRclX_gaz9nH0,Pending Review
Green Phoenix Farms,"900 N Walnut Creek Dr, Mansfield, TX 76063, USA",32.5773172,-97.13210989999999,Not listed,"establishment, point_of_interest",ChIJAQCQyKZhToYRCaAaXH47LWw,Pending Review
"Bumper Crop Farms Country Store/ H2O Water Works, Inc.","6599 FM 1886, Azle, TX 76020, USA",32.8289892,-97.6241123,Not listed,"establishment, point_of_interest",ChIJUz79vegHToYRKOv4gRqTNNw,Pending Review
Timberview Farmstead,"4274 Timberview Dr, Fort Worth, TX 76140, USA",32.6272985,-97.2538744,https://timberviewfarmstead.com/,"establishment, point_of_interest",ChIJx4GSMu5lToYRnRIqii1H1GQ,Pending Review
True Aquaponics,"329 Vz County Rd 1323, Canton, TX 75103, USA",32.548777,-95.76359699999999,http://trueaquaponics.com/store,"establishment, point_of_interest",ChIJpQmOT_oKSYYR3GKPRc7m4-U,Pending Review
Vickery Wholesale Greenhouse,"4911 E Grand Ave, Dallas, TX 75223, USA",32.7875539,-96.7544595,http://www.vickerygreenhouse.com/,"establishment, florist, food, point_of_interest, store",ChIJo01meaGYToYRdxtYLC1AwyU,Pending Review
Gotham Greens Seagoville,"800 Environmental Way, Seagoville, TX 75159, USA",32.6460278,-96.5635523,https://www.gothamgreens.com/,"establishment, food, point_of_interest",ChIJA24ItduxToYRq4cIV-6Kv8w,Pending Review
Jacksons Home & Garden,"6950 Lemmon Ave, Dallas, TX 75209, USA",32.8429693,-96.8337923,http://www.jacksonshg.com/,"establishment, food, furniture_store, home_goods_store, point_of_interest, store",ChIJWXVJk4GeToYRb1dlQuytDnU,Pending Review
Rolke Greenhouses,"1908 S Hampton Rd, Glenn Heights, TX 75154, USA",32.5545143,-96.8561534,http://www.rolkegreenhouses.com/,"establishment, food, general_contractor, point_of_interest, store",ChIJmxA3mWqTToYRzYJZW5avcNo,Pending Review
Doan's Nursery Inc,"622 S Belt Line Rd, Irving, TX 75060, USA",32.8081459,-96.9936159,https://doans-nursery.com/,"establishment, point_of_interest",ChIJ8R-qBe-DToYRP8d9GBzbjQE,Pending Review
Cox Farms Nursery,"110 Azalea Ln, Duncanville, TX 75137, USA",32.6401328,-96.9077066,http://coxfarmsmarket.com/,"establishment, point_of_interest",ChIJ4ZgN3NCRToYR6BAc17fqj8g,Pending Review
Mars Hill Farm,"1604 Mars Rd, Ferris, TX 75125, USA",32.5880891,-96.64260469999999,http://www.marshillfarm.com/,"establishment, point_of_interest",ChIJFep8-N25ToYRpMVbm_1nTnI,Pending Review
Green Acres Nursery & Supply,"2800 Ranch Trail, Irving, TX 75063, USA",32.9239542,-96.98435289999999,http://www.idiggreenacres.com/,"establishment, furniture_store, home_goods_store, point_of_interest, store",ChIJP8dF1LApTIYRQ7zgyhve7co,Pending Review
Oasis Plant Shop,"416 W Eighth St, Dallas, TX 75208, USA",32.7478714,-96.8291397,http://oasisplantshop.com/,"establishment, food, furniture_store, general_contractor, home_goods_store, point_of_interest, store",ChIJ5Vbb68SZToYROPydCKnnE-k,Pending Review
Phuong's Nursery & Home Decor,"4022 Broadway Blvd, Garland, TX 75043, USA",32.8647409,-96.60393409999999,http://phuongsnursery.com/,"establishment, point_of_interest",ChIJvUDAIrSnToYRQnl6xRhqkak,Pending Review
DFW Vertical Farms LLC ( LVLUP MICRO),"7800 Windrose Ave. #200, Plano, TX 75024, USA",33.083161,-96.8258615,https://www.lvlupmicro.com/,"establishment, point_of_interest",ChIJsfs-tcc9TIYRuXCcFbaLg1s,Pending Review
Texas Vertical Farming,"116 Randy Rd, Waxahachie, TX 75165, USA",32.4774247,-96.80255129999999,Not listed,"establishment, point_of_interest",ChIJI4K3aqDrToYR9Pling03mQI,Pending Review
Huddin Homestead Fun Farm,"1666 FM1141, Rockwall, TX 75087, USA",32.944298,-96.43715019999999,http://www.huddinfarm.com/,"establishment, point_of_interest",ChIJcUZRYOUBTIYRzAcgUZY-Z5c,Pending Review
Nash Farm,"626 Ball St, Grapevine, TX 76051, USA",32.9343836,-97.0856824,http://www.nashfarm.org/,"establishment, point_of_interest",ChIJ46rrJi4rTIYR3jEYk1ZjK_M,Pending Review
Dallas Organic BlackBerry Farm,"345 E Wheatland Rd, Dallas, TX 75241, USA",32.6478576,-96.8176719,https://dallasorganicblackberries.com/,"establishment, food, point_of_interest, store",ChIJDUF4GwCXToYRzK-bhkE2fGc,Pending Review
Heritage Farmstead Museum,"1900 W 15th St, Plano, TX 75075, USA",33.0187659,-96.7316752,http://www.heritagefarmstead.org/,"establishment, museum, park, point_of_interest, tourist_attraction",ChIJnTGkVpIYTIYRgPkEp770s_c,Pending Review
OHM Microgreens,"5931 Greenville Ave PMB 3054, Dallas, TX 75206, USA",32.8578397,-96.76891549999999,https://ohmmicrogreens.com/,"establishment, point_of_interest",ChIJn1qHJmqfToYRfSBGcZ6MFGk,Pending Review
Paw Paw's Pickle Farm,"118 Fallbrook Dr, Murphy, TX 75094, USA",33.0076941,-96.61156439999999,http://www.pawpawspicklefarm.com/,"establishment, point_of_interest",ChIJN3HKPg0bTIYRAS1bOeZ9GA0,Pending Review
"Trinity Smart Farms, LLC","8711 Ferndale Rd, Dallas, TX 75238, USA",32.8673599,-96.7114811,https://trinity-smart-farms.localline.ca/retail,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJDVoL_56hToYRjkPryZsyc1A,Pending Review
St. Michaels Farmers Market,"4344 Colgate Ave, Dallas, TX 75225, USA",32.8606004,-96.81048949999999,http://saintmichaelsmarket.com/,"establishment, point_of_interest",ChIJOXdjUUOeToYRkA-chDfZ6aY,Pending Review
Lean and Clean Microgreens,"200 Rocky Pine Rd, McKinney, TX 75070, USA",33.2020117,-96.75991739999999,Not listed,"establishment, point_of_interest",ChIJLejUJFM_TIYRr945HKHKZ2s,Pending Review
VertAscent Fresh Microgreens,"3104 Briarwood Ln, Frisco, TX 75034, USA",33.1052777,-96.83393650000001,https://vertascentfresh.com/,"establishment, food, health, point_of_interest, store",ChIJxSTv6Kc9TIYRjsWMvKNKGWw,Pending Review
Sprouts Farmers Market,"6465 E Mockingbird Ln, Dallas, TX 75214, USA",32.837743,-96.751481,https://www.sprouts.com/store/tx/dallas/160-hillside-dallas/,"establishment, food, grocery_or_supermarket, health, point_of_interest, store, supermarket",ChIJMa6cLFKfToYRXRlO6-HG01M,Pending Review
Frisco Fresh Market,"9215 John W. Elliott Dr, Frisco, TX 75033, USA",33.1546048,-96.830646,https://friscofreshmarket.com/,"establishment, point_of_interest",ChIJn5TQq-k8TIYRBOdp94Clf8E,Pending Review
Natural Grocers,"9440 Garland Rd, Dallas, TX 75218, USA",32.831748,-96.7011843,https://www.naturalgrocers.com/store/dallas-casa-linda,"establishment, food, grocery_or_supermarket, health, point_of_interest, store, supermarket",ChIJWxWpOQuhToYRXIaOXQib2JM,Pending Review
Owenwood Farm & Neighbor Space,"1451 John West Rd, Dallas, TX 75228, USA",32.80732620000001,-96.6929134,http://www.owenwood.org/,"establishment, point_of_interest",ChIJGYwr_tijToYR1wY2UtF-5NI,Pending Review
Squeezepenny Sustainable Farm,"3723 County Rd 412, McKinney, TX 75071, USA",33.2599532,-96.54094189999999,Not listed,"establishment, point_of_interest",ChIJL4OB_3ANTIYRga59pga1z1Y,Pending Review
Red Moon Farm,"1484 VZ County Rd 1505, Van, TX 75790, USA",32.5530912,-95.6431254,http://redmoonfarmtx.com/,"establishment, point_of_interest",ChIJvwfSdymiSYYRrB7i8DcziCg,Pending Review
Pawpaws Produce & Co,"2220 E Ledbetter Dr, Dallas, TX 75216, USA",32.686718,-96.786526,Not listed,"establishment, point_of_interest",ChIJO_lTzoGXToYR4R0ZbTZr3Mg,Pending Review
Keeper Flower Farm,"270 Winningkoff Rd, Lucas, TX 75002, USA",33.0891602,-96.5680997,http://www.keeperflowerfarm.com/,"establishment, point_of_interest",ChIJ-9EeN8APTIYRoL3HHeOlacg,Pending Review
The Rose Gardens of Farmers Branch,"2610 Valley View Ln, Farmers Branch, TX 75234, USA",32.9234372,-96.8909116,https://www.farmersbranchtx.gov/364/Coming-Up-Roses,"establishment, point_of_interest, tourist_attraction",ChIJKxnsQ7onTIYReRFQsxO2wfw,Pending Review
One Love Farms,"9210 Mountain Cabin Rd, Dallas, TX 75217, USA",32.6942743,-96.6618798,http://www.oneloveroseandgardens.com/,"establishment, point_of_interest",ChIJnX2Vq2C7ToYR1E0ih6TRzU8,Pending Review
Abundant Flower Farm,"8470 W FM 545, Blue Ridge, TX 75424, USA",33.2976934,-96.4555049,http://www.abundantflowerfarm.com/,"establishment, florist, food, point_of_interest, store",ChIJpZ0x_d91TIYRuJIZExAVkNs,Pending Review
Green Valley Gardens,"3598 Warschun Rd, Aubrey, TX 76227, USA",33.2982012,-97.0946276,http://gvgntx.com/,"establishment, point_of_interest",ChIJ2Z6Co5NLTIYRO7JbqYEz6Bk,Pending Review
Tulipalooza field,"400 S Grand Ave, Waxahachie, TX 75165, USA",32.3962797,-96.865032,https://tulipalooza.org/,"establishment, point_of_interest",ChIJB5fqV3jvToYRHaNh6miWF10,Pending Review
Paper Bird Flower Farm,"5003 Co Rd 644, Farmersville, TX 75442, USA",33.083478,-96.32253399999999,https://www.paperbirdflowerfarm.com/,"establishment, point_of_interest",ChIJe5dFuLn7S4YR-4sBylxs0uY,Pending Review
Falcon Farms Inc,"1075 S Belt Line Rd Ste 100, Coppell, TX 75019, USA",32.9463078,-96.99404539999999,https://falconfarms.com/,"establishment, florist, point_of_interest, store",ChIJTRAsK8mgToYRY7KmGd83zhg,Pending Review
The Flower Ranch,"901 S Pearson Ln, Keller, TX 76248, USA",32.9277778,-97.20277779999999,http://www.theflowerranch.com/,"establishment, food, point_of_interest, store",ChIJI1CxgPLWTYYRB1LmK3WzWuk,Pending Review
Dr Delphinium Designs & Events,"5806 W Lovers Ln, Dallas, TX 75225, USA",32.8509831,-96.812794,http://www.drdelphinium.com/,"establishment, florist, food, point_of_interest, store",ChIJ6Z5jzl-eToYRQR79RtlqrdY,Pending Review
Ruibal's Plants of Texas,"6630 Lemmon Ave, Dallas, TX 75209, USA",32.8389531,-96.8335355,https://ruibals.com/,"establishment, point_of_interest",ChIJC2J474KeToYRdn792Xt_Hos,Pending Review
Dr Delphinium Flower & Orchid House,"513 W Campbell Rd, Richardson, TX 75080, USA",32.9757614,-96.736763,http://www.drdelphinium.com/,"establishment, florist, point_of_interest, store",ChIJ405CZEUfTIYRxItuv9Z-wjU,Pending Review
The Botanical Mix,"2000 N Stemmons Fwy, Dallas, TX 75207, USA",32.8032988,-96.8228894,http://www.thebotanicalmix.com/,"establishment, florist, point_of_interest, store",ChIJ6R__yrKeToYRiTzekVwZlXA,Pending Review
Hemingway Hill,"11656 Co Rd 309, Terrell, TX 75161, USA",32.7208343,-96.2065597,https://hemingwayhill.com/?utm_source=googlemb&utm_medium=organic&utm_campaign=weblink&utm_content=home,"establishment, point_of_interest, store",ChIJaSyILUpFSYYRzsXCzh4GuDg,Pending Review
Lavon Farms,"3721 Jupiter Rd, Plano, TX 75074, USA",33.0480987,-96.6829357,http://www.lavonfarms.com/,"establishment, point_of_interest",ChIJ0Yo8DJcZTIYR_aiFsfUFTCg,Pending Review
Taylor Farms Drop Yard,"4720 W Ledbetter Dr, Dallas, TX 75236, USA",32.6903655,-96.9006758,Not listed,"establishment, point_of_interest",ChIJhXpYwhSQToYRhgwAjJRKAg8,Pending Review
The Market Cafe at Bonton Farms,"6911 Bexar St, Dallas, TX 75215, USA",32.73473450000001,-96.75375760000001,http://bontonfarms.org/market,"cafe, establishment, food, grocery_or_supermarket, point_of_interest, restaurant, store",ChIJt9VUsfOZToYRiw2g7IEK-oE,Pending Review
Lucky Layla Farms,"3721 Jupiter Rd, Plano, TX 75074, USA",33.0469706,-96.6831929,http://luckylayla.com/index.php/contact,"establishment, point_of_interest",ChIJy6l2K0YZTIYRC6LEkYNVTuQ,Pending Review
South Prairie Farm,"4405 Sharpsburg Dr, Grand Prairie, TX 75052, USA",32.6657085,-97.02052599999999,http://www.southprairiefarm.com/,"establishment, point_of_interest",ChIJ1y4RAOKJToYRy0rMSIqhDpA,Pending Review
Montserrado Farm and Ranch,"508 East Fork Rd, Sunnyvale, TX 75182, USA",32.8218913,-96.54768759999999,Not listed,"establishment, point_of_interest",ChIJi02oF_mpToYRp4T1pukiA0A,Pending Review
Pastured Steps Family Farm,"1505 Indian Creek Dr, Midlothian, TX 76065, USA",32.4061705,-97.00998779999999,http://www.pasturedsteps.com/,"establishment, point_of_interest",ChIJdWdUgsT3ToYRqgOvnMRMhkc,Pending Review
Cedar Ridge Egg Farm,"12575 Farm Rd 269 S, Pickton, TX 75471, USA",32.99514,-95.3895337,http://www.cedarridgeeggs.com/,"establishment, food, point_of_interest",ChIJkU_gsGsfSoYRU6Tzru4tVEU,Pending Review
McGreen Acres,"2414 Westmoreland Rd, Red Oak, TX 75154, USA",32.5157792,-96.8712314,https://mcgreenacres.com/,"establishment, food, point_of_interest",ChIJLYk-dvWzToYRXKf2R0-Efpw,Pending Review
Beannacht Acres LLC,"1651 Easy St, Seagoville, TX 75159, USA",32.621389,-96.536131,Not listed,"bakery, establishment, food, point_of_interest, store",ChIJP0rTWZG3ToYR0rTpOY22fWg,Pending Review
Local eggs,"2201 Oak Hill Rd, Fort Worth, TX 76112, USA",32.7473721,-97.2254871,Not listed,"establishment, point_of_interest",ChIJP8nUQop7ToYR1wwXkjcfiYo,Pending Review
New Life Farm,"960 Nokomis Cir, Lancaster, TX 75146, USA",32.567701,-96.7432036,https://m.facebook.com/Newlifefarmtexas/,"establishment, point_of_interest",ChIJazmgxdu_ToYRuZ_TTDUNykM,Pending Review
Hollyhill Farms,"8523 Thackery St #3305, Dallas, TX 75225, USA",32.8667485,-96.7934908,Not listed,"establishment, point_of_interest",ChIJ1_73XkueToYRIJNOi4puD6I,Pending Review
JMZ Farms,"2440 Co Rd 3840, Bridgeport, TX 76426, USA",33.096311,-97.90748339999999,http://jmzfarms.com/,"establishment, food, point_of_interest",ChIJKcdFb4_VTYYRFlb2bhFiaJQ,Pending Review
Prairie Farmstead,"4617 Farmington Rd, Sherman, TX 75092, USA",33.5802431,-96.63554479999999,https://prairiefarmstead.eatfromfarms.com/,"establishment, point_of_interest",ChIJI2FCwkNjTIYRMZQTsR8EINQ,Pending Review
Cox Farms Market - Dallas,"778 Fort Worth Ave, Dallas, TX 75208, USA",32.7700008,-96.8352525,http://coxfarmsmarket.com/,"establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJw_Yvc9ibToYRgqqbCf7gIl8,Pending Review
Sunnyvale Honey Producers,"235 Barnes Bridge Rd, Sunnyvale, TX 75182, USA",32.826936,-96.5843064,http://sunnyvalehoney.com/,"establishment, point_of_interest",ChIJe8vaZRumToYRo1I03WEP98g,Pending Review
Honey Bee Rescue,"4535 Allencrest Ln, Dallas, TX 75244, USA",32.9112546,-96.8298506,https://www.thebeerescue.com/,"establishment, point_of_interest",ChIJU8FjmHshTIYRWp-ny76wfcY,Pending Review
Lazy SO Bees,"4817 Tremont St, Dallas, TX 75246, USA",32.7973206,-96.76780959999999,Not listed,"establishment, point_of_interest",ChIJa08qrP3AGU4RiacbAAU7FjQ,Pending Review
Little Giant Beekeepers & Bee Removal Specialists,"15150 Preston Rd #300, Dallas, TX 75248, USA",32.9549074,-96.80361309999999,https://littlegiantbeekeepers.com/?utm_source=gmb&utm_medium=organic&utm_campaign=Maps,"establishment, point_of_interest",ChIJXZVrgsAhTIYRaQX-oj6pf2w,Pending Review
Heavenly Honey,"3801 Glade Rd, Colleyville, TX 76034, USA",32.8815838,-97.1084869,http://www.sfantamaria-dallas.org/,"establishment, point_of_interest",ChIJZ6tTVgB5ToYRpnJtCF9M0iY,Pending Review
